,Nama,Parti,Jawatan dalam Parlimen,Jawatan dalam Kabinet,Tempat Duduk,Parlimen,Kawasan,Negeri,No. Telefon,No. Faks,Email,Alamat Surat-menyurat,image_URL,,MAKLUMAT,Media Sosial
57,Datuk Haji Awang bin Hashim,PAS,,Timbalan Menteri Sumber Manusia,C-20,P011,Pendang,Kedah,03-88865009,03-88892394,awang@mohr.gov.my,"Kementerian Sumber Manusia, Aras 9, Blok D3, Kompleks D, Pusat Pentadbiran Kerajaan Persekutuan, 62502 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.011-Pendang.png,,MAKLUMAT,
58,Datuk Haji Ahmad Amzad bin Mohamed @ Hashim,PAS,,"Timbalan Menteri Sains, Teknologi dan Inovasi",C-21,P036,Kuala Terengganu,Terengganu,03-88858001,03-88855427,amzad@mosti.gov.my,"Kementerian Sains, Teknologi dan Inovasi, Aras 7, Blok C5, Kompleks C, Pusat Pentadbiran Kerajaan Persekutuan, 62662 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.036-KUALA TERENGGANU.png,,MAKLUMAT,
59,Dato Sri Dr. Wee Jeck Seng,BN - MCA,,Timbalan Menteri Perusahaan Perladangan dan Komoditi II,C-22,P165,Tanjung Piai,Johor,03-88803337,03-88803318,weejeckseng@mpic.gov.my,"Kementerian Perusahaan Perladangan dan Komoditi, No. 15, Level 6-13, Persiaran Perdana, Presint 2, Pusat Pentadbiran Kerajaan Persekutuan, 62654 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2019/p165.png,,MAKLUMAT,
60,Datuk Seri Jalaluddin bin Alias,BN - UMNO,,Timbalan Menteri Wilayah Persekutuan,C-55,P126,Jelebu,Negeri Sembilan,03-88897999,03-88894414,jalaluddin@kwp.gov.my,"Kementerian Wilayah Persekutuan, Aras 4, Blok B2, Menara Seri Wilayah, Presint 2, Pusat Pentadbiran Kerajaan Persekutuan, 62100 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.126-JELEBU.png,,MAKLUMAT,
61,Datuk Yamani Hafez bin Musa,BERSATU,,Timbalan Menteri Kewangan II,C-60,P178,Sipitang,Sabah,03-88823322,03-88824545,hafez.musa@mof.gov.my,"Pejabat Timbalan Menteri Kewangan II, Kementerian Kewangan Malaysia, Aras 12, Blok Tengah, Presint 2, Pusat Pentadbiran Kerajaan Persekutuan, 62592 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.178-SIPITANG.png,,MAKLUMAT,
62,Datuk Dr. Nik Muhammad Zawawi bin Haji Salleh,PAS,,Timbalan Menteri Pertanian dan Industri Makanan II,D-13,P028,Pasir Puteh,Kelantan,03-88701007,03-88888960,nikzawawi@mafi.gov.my,"Kementerian Pertanian dan Industri Makanan, Aras 17, Wisma Tani, No. 28, Persiaran Perdana, Preisnt 4, Pusat Pentadbiran Kerajaan Persekutuan, 62592 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.028-PASIR PUTEH.png,,MAKLUMAT,
63,Datuk Mohamad bin Alamin,BN - UMNO,,Timbalan Menteri Pendidikan II,C-31,P176,Kimanis,Sabah,03-88846035,03-88884164,mohamad@moe.gov.my,"Pejabat Timbalan Menteri Pendidikan II, Kementerian Pendidikan Malaysia, Aras 9, Blok E8, Kompleks E, Pusat Pentadbiran Kerajaan Persekutuan,62604 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/kimanis.png,,MAKLUMAT,
64,Dato Sri Mohd Najib bin Tun Abd Razak,BN - UMNO,,,D-3,P085,Pekan,Pahang,,,mukhlis313@gmail.com,NO.11 JALAN LANGGAK DUTA TAMAN DUTA 50480 KUALA LUMPUR.,https://www.parlimen.gov.my//images/webuser/ahli/2013/P.085-PEKAN.png,,MAKLUMAT,
65,Dato Seri Dr. Ahmad Zahid bin Hamidi,BN - UMNO,,,D-5,P075,Bagan Datuk,Perak,03-26017312,03-26932529,pejabatpresiden@gmail.com,"No.389,Country Heights,43000 Kajang, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.075-BAGAN DATUK.png,,MAKLUMAT,
66,Tengku Razaleigh Hamzah,BN - UMNO,,,D-6,P032,Gua Musang,Kelantan,03-21485655,03-21423559,redzuanba@gmail.com,"No 31, Jalan Langgak Golf, 55000 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.032-GUA MUSANG.png,,MAKLUMAT,
67,Tan Sri Haji Idris bin Jusoh,BN - UMNO,,,D-18,P033,Besut,Terengganu,,,jusoh.idris@gmail.com,"No. 36 Jalan P11A 6/1, Presint 11, 62300 Putrajaya",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.033-BESUT.png,,MAKLUMAT,
68,Dato Sri Haji Tajuddin bin Abdul Rahman,BN - UMNO,,,D-20,P073,Pasir Salak,Perak,03-79570800,03-79562539,dtajar@gmail.com,"Unit 807, Phileo Damansara 1, Block F, Petaling Jaya, 46340 Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.073-PASIR SALAK.png,,MAKLUMAT,
69,Datuk Ahmad Jazlan bin Yaakub,BN - UMNO,,,C-58,P029,Machang,Kelantan,09-9751826,09-9751827,jazlanyaakub64@gmail.com,"Pusat Khidmat Masyarakat Parlimen Machang, B62 & B63, Jalan Pejabat,18500 Machang, Kelantan Darul Naim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.029-MACHANG.png,,MAKLUMAT,
70,Dato Sri Azalina binti Othman Said,BN - UMNO,,,A-27,P157,Pengerang,Johor,03-26036844,,ybaos63@gmail.com,"10, Jalan Laksamana 12/1, Seksyen 12, 40100 Shah Alam, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.157-PENGERANG.png,,MAKLUMAT,
71,Datuk Seri Tengku Adnan bin Tengku Mansor,BN - UMNO,,,D-10,P125,Putrajaya,Putrajaya,,,kunan2010@gmail.com,"No. 5, Lorong Duta 5, Taman Duta, 50480 Kuala Lumpur",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.125-PUTRAJAYA.png,,MAKLUMAT,
72,Datuk Seri Haji Ahmad bin Haji Maslan,BN - UMNO,,,D-12,P164,Pontian,Johor,07-6905022,07-6905033,ahmadmaslan164pontian@gmail.com,"Pusat Khidmat Ahli Parlimen Pontian, Lot 66, Jalan Parit Ibrahim, Mukim Sungai Pinggan, 82200 Benut, Pontian, Johor.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.164-PONTIAN.png,,MAKLUMAT,
73,Datuk Seri Panglima Bung Moktar bin Radin,BN - UMNO,,,D-27,P187,Kinabatangan,Sabah,089-619817,,harun.ariffin@yahoo.com,"Kampung Libis, PS Bil 1163, 90713, Sandakan, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.187-KINABATANGAN.png,,MAKLUMAT,
74,Datuk Seri Dr. Shamsul Anuar bin Haji Nasarah,BN - UMNO,,,A-15,P055,Lenggong,Perak,05-7679055,05-7678055,dsan393393@yahoo.com,"Pusat Khidmat Parlimen Lenggong, No.191, Tingkat 1, Bangunan Baru UMNO Lenggong, Jalan Alang Iskandar, 33400 Lenggong, Perak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.055-LENGGONG.png,,MAKLUMAT,
75,Dato Sri Hasan bin Arifin,BN - UMNO,,,C-48,P091,Rompin,Pahang,09-4521177,09-4524277,umnorompin@yahoo.com,"MM35, Medan Mewah, 26700 Muadzam Shah, Pahang Darul Makmur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.091-ROMPIN.png,,MAKLUMAT,
76,Datuk Seri Panglima Abdul Azeez bin Abdul Rahim,BN - UMNO,,,D-21,P016,Baling,Kedah,03-22781218,03-22721219,datoazeez@yahoo.com,"No. 66A, Jalan Kanpung Attap, 50460 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.016-Baling.png,,MAKLUMAT,
77,Dato Seri Mohamed Nazri bin Abdul Aziz,BN - UMNO,,,C-39,P061,Padang Rengas,Perak,05-7777799,05-7776061,sueamir@yahoo.com,"Pusat Khidmat Ahli Parlimen Padang Rengas, No. 5-6, Jalan Industri Miel 1, Taman Perindustrian IKS, Lubuk Merbau, Kuala Kangsar, 33010, Perak Darul Ridzwan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.061-PADANG RENGAS.png,,MAKLUMAT,
78,Dato Hj. Ahmad Nazlan bin Idris,BN - UMNO,,,C-57,P081,Jerantut,Pahang,09-2661936,09-2663160,parlimenjerantut@yahoo.com,"Pusat Khidmat Masyarakat Ahli Parlimen P081, No. S1, Tingkat Atas, Taman Koperasi, 27000 Jerantut, Pahang Darul Makmur",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.081-JERANTUT.png,,MAKLUMAT,
79,Dato Mohd Nizar bin Haji Zakaria,BN - UMNO,,,C-35,P069,Parit,Perak,05-3775488/05-3775588,05-3773117,nizar_069@yahoo.com,"Pusat Khidmat Masyarakat Parlimen Parit, Bangunan UMNO Bahagian Parit, Tingkat 1, Jalan Kelab, 32800 Parit, Perak Darul Ridzwan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.069-PARIT.png,,MAKLUMAT,
80,Dato Haji Salim Shariff,BN - UMNO,,,C-53,P127,Jempol,Negeri Sembilan,06-4543010,06-4545010,m.salimJP@yahoo.com,"No. 22, Tingkat 3, Wisma UNMO, Jalan Mewah, 72100 Bahau, Negeri Sembilan Darul Khusus.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.127-JEMPOL.png,,MAKLUMAT,
81,Dato Ramli bin Dato Mohd Nor,BN - UMNO,,,C-44,P078,Cameron Highlands,Pahang,,,norramlimohd@gmail.com,"Pusat Khidmat Ahli Parlimen Cameron Highlands,No.2,Tingkat 3 & 4, Bangunan UMNO, Marigold Square,39000 Tanah Rata, Cameron Highlands, Pahang Darul Makmur.",https://www.parlimen.gov.my//images/webuser/ahli/2019/YB Cameron Highland.png,,MAKLUMAT,
82,Tan Sri Haji Abdul Hadi bin Haji Awang,PAS,,,D-2,P037,Marang,Terengganu,09-6203313 / 09-6171370,09-6203311,presiden@pas.org.my,"No 33, Taman Sri Intan, Jalan Sultan Omar, 20300 Kuala Terengganu, Terengganu",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.037-MARANG.png,,MAKLUMAT,
83,Tuan Nik Mohamad Abduh bin Nik Abdul Aziz,PAS,,,D-14,P025,Bachok,Kelantan,,,nikabduh@yahoo.com,"Pulau Melaka, 16150 Kota Bharu, Kelantan Darul Naim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.025-BACHOK.png,,MAKLUMAT,
84,Tuan Haji Wan Hassan bin Mohd Ramli,PAS,,,D-22,P039,Dungun,Terengganu,09-8485001,09-8485001,pasdgn039@gmail.com,"No. 612, Lorong 5 Kiri, Jalan Nibong Stesen, 23000 Dungun, Terengganu Darul Iman.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.039-DUNGUN.png,,MAKLUMAT,
85,Tuan Ahmad Fadhli bin Shaari,PAS,,,D-15,P022,Pasir Mas,Kelantan,,,ahmadfadhlishaari80@gmail.com,"Lot 646, Jalan Masjid Mukim Paloh, Kampung Paloh, Tendong, 17030 Pasir Mas, Kelantan Darul Naim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.022-PASIR MAS.png,,MAKLUMAT,
86,Tuan Abdul Latiff bin Abdul Rahman,PAS,,,D-23,P031,Kuala Krai,Kelantan,09-9669696,,mpkualakrai@gmail.com,"Lot 13, Pondok Sungai Durian, 18000 Kuala Krai, Kelantan Darul Naim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.031-KUALA KRAI.png,,MAKLUMAT,
87,Tuan Sabri bin Azit,PAS,,,C-40,P012,Jerai,Kedah,04-7416959,04-7414939,ustazsabriazit@gmail.com,"814B, Jalan Masjid Kg Sungai Lentang, Mukim Dulang, 06900 Yan, Kedah",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.012-Jerai.png,,MAKLUMAT,
88,Tuan Ahmad Tarmizi bin Sulaiman,PAS,,,C-42,P013,Sik,Kedah,017-5196665,04-4216510,pkmparlimensik@gmail.com,"No. 11A, Jalan Sungai Pau, Kampung Sungai Pau, 08200 Sik, Kedah Darul Aman.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.013-Sik.png,,MAKLUMAT,
89,Tuan Shaharizukirnain bin Abd Kadir,PAS,,,C-29,P034,Setiu,Terengganu,,,umminabihah69@gmail.com,"Lot 21335, Kg Alor Jambu, 21020 Batu Rakit, Kuala Nerus, Terengganu",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.034-SETIU.png,,MAKLUMAT,
90,Tuan Che Alias bin Hamid,PAS,,,C-27,P040,Kemaman,Terengganu,09-8596833,,aliasabdhamid66@gmail.com,"No. 115 Kampung Semayor, Kemasek, 24210 Kemaman, Terengganu",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.040-KEMAMAN.png,,MAKLUMAT,
91,Dato Haji Che Abdullah bin Mat Nawi,PAS,,,C-19,P019,Tumpat,Kelantan,012-9016210,09-7195120,abekerdut@yahoo.com,"ABE RESIDENCE,1419 Taman Mimi, 16250 Wakaf Bharu, Kelantan Darul Naim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.019-TUMPAT.png,,MAKLUMAT,
92,Tan Sri Dato Haji Mahiaddin bin Haji Md Yasin,BERSATU,,,A-1,P143,Pagoh,Johor,,,muhyiddin.tsmy@gmail.com,"No.5, Jalan Setiabakti 7, Bukit Damansara, 50490 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.143-PAGOH.png,,MAKLUMAT,
93,Dato Hajah Azizah binti Mohd Dun,BERSATU,,,D-33,P177,Beaufort,Sabah,087-211761,,parlimen177beaufort@gmail.com,"Pejabat Ahli Parlimen Beaufort, Kompleks Kasih Datin Seri Hajah Asbeh, Jalan Limbawang, P.O.Box 849, 89800 Beaufort, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P197 GAMBAR.jpg,,MAKLUMAT,
94,Dato Haji Mohd Fasiah bin Mohd Fakeh,BERSATU,,,C-50,P092,Sabak Bernam,Selangor,03-32162324,03-32165937,fasiah56@yahoo.com.my,"Lot 1785, Taman Raya, 45300 Sungai Besar, Selangor Darul Ehsan",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.092-SABAK BERNAM.png,,MAKLUMAT,
95,Datuk Seri Mohd Redzuan bin Md. Yusof,BERSATU,,,A-9,P135,Alor Gajah,Melaka,,,redzuanyusof@gmail.com,"No.2, Jalan TH 2/10, Parkfield Residence, Tropicana Heights, 43000 Kajang, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.135-ALOR GAJAH.png,,MAKLUMAT,
96,Datuk Zakaria bin Mohd. Edris,BERSATU,,,D-32,P184,Libaran,Sabah,,089-215290,zakaria@gmail.com,"Lorong Merbau, Lot 16, Taman Rimba Batu 7,Jln. Labuk, Sandakan, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.184-LIBARAN.png,,MAKLUMAT,
97,Dato Syed Abu Hussin bin Hafiz Syed Abdul Fasal,BERSATU,,,C-52,P059,Bukit Gantang,Perak,05-8470167,05-8478742,pusatkhidmatp059@gmail.com,"Pusat Khidmat P059 Ahli Parlimen Bukit Gantang, Lot 8526, Light Industrial Area Jalan Simpang, 34000 Taiping, Perak Darul Ridzwan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.059-BUKIT GANTANG.png,,MAKLUMAT,
98,Datuk Abd Rahim bin Bakri,BERSATU,,,A-23,P167,Kudat,Sabah,088-724772,088-721142,martizek_73@yahoo.com,"Lot 8 Crystal Villa, Lorong Kohizan, Off Jalan Kepayan Kobusak, 88300 Kota Kinabalu, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.167-KUDAT.png,,MAKLUMAT,
99,Datuk Haji Shabudin bin Yahaya,BERSATU,,,C-5,P042,Tasek Gelugor,Pulau Pinang,04-5711252,04-5701997,shabudinyahaya65@gmail.com,"No.2, Lorong Bendahara 12, Bertam Perdana 2, 13200 Kepala Batas, Pulau Pinang.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.042-TASEK GELUGOR.png,,MAKLUMAT,
100,Dato Seri Tiong King Sing,GPS - PDP,,,D-26,P217,Bintulu,Sarawak,086-312979,086-313979,tks799@hotmail.com,"Lot 3290,SH/LOT 3A, PARK CITY COMMERCIAL SQUARE PH1,97000 BINTULU SARAWAK.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.217-BINTULU.png,,MAKLUMAT,
101,Dato Sri Dr Richard Riot Anak Jaem,GPS - SUPP,,,D-8,P199,Serian,Sarawak,082-873199,082-875199,dtkriot.p199@gmail.com,"No.25, Kampung Pichin,94700, Serian, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.199-SERIAN.png,,MAKLUMAT,
102,Tuan Anyi Ngau,GPS - PDP,,,D-31,P220,Baram,Sarawak,085-650109,085-650109,anyingau1000@yahoo.com,"Lot 7204,Ground Floor,Phase 2 Pusat Bandar Permyjaya,98000, Miri,Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.220-BARAM.png,,MAKLUMAT,
103,Datuk Wilson Ugak Anak Kumbong,GPS - PRS,,,C-37,P216,Hulu Rajang,Sarawak,082-415900,082-416900,wilsonugakkumbong@yahoo.com,"Lot 2791, S/L 5, Block 10, Ist Floor, Jalan Tun Ahmad Zaidi Adruce,93250 Kuching, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.216-HULU RAJANG.png,,MAKLUMAT,
104,Dato Sri Hajah Rohani binti Abdul Karim,GPS - PBB,,,D-16,P201,Batang Lupar,Sarawak,082-258108,082-258107,rohaniak3155@gmail.com,"78, Taman Sejoli, Lorong Duranta 2, Jln. Mergasing, Petrajaya,93050 Kuching, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.201-BATANG LUPAR.png,,MAKLUMAT,
105,Datuk Hajah Rubiah binti Haji Wang,GPS - PBB,,,D-25,P197,Kota Samarahan,Sarawak,082-661368,082-661801,parlimenp197@gmail.com,"No.89, Lorong 22J, Taman Desa Ilmu,94300 Kota Samarahan, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.197-KOTA SAMARAHAN.png,,MAKLUMAT,
106,Datuk Robert Lawson Chuat,GPS - PBB,,,D-34,P204,Betong,Sarawak,082-245912,082-259912,rlchuat@gmail.com,"388,Lot 2002, Lorong 1, Jalan Wan Alwi, 93350 Kuching, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.204-BETONG.png,,MAKLUMAT,
107,Tuan Haji Ahmad Johnie bin Haji Zawawi,GPS - PBB,,,D-29,P207,Igan,Sarawak,082-421099,082-421399,ajzigan@yahoo.com,"Alunan Jujur Sdn. Bhd. 2nd Floor, Lot 379, Lorong 6, KTLD, Jalan Nanas, 93400 Kuching, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.207-IGAN.png,,MAKLUMAT,
108,Tuan Haji Yusuf bin Abd Wahab,GPS - PBB,,,D-24,P206,Tanjong Manis,Sarawak,082-574600,082-573217,yusuf.abdwahab@gmail.com,"Lot 303,1st Floor, Seksyen 9, Lorong 7, Jalan Rubber, 93400 Kuching,SARAWAK.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.206-TANJONG MANIS.png,,MAKLUMAT,
109,Tuan Lukanisman bin Awang Sauni,GPS - PBB,,,D-30,P218,Sibuti,Sarawak,085-612169,085-614169,sibuti@gmail.com,"PEJABAT AHLI PARLIMEN P.218 & PUSAT KHIDMAT MASYARAKAT PARLIMEN P.218 SIBUTI, Lot 11185,Tingkat 1, Taman Jelita Shophouse,Taman Tunku,98000 Miri,SARAWAK.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.218-SIBUTI.png,,MAKLUMAT,
110,Datuk Seri Panglima Dr. Gapari bin Katingan @ Geoffrey Kitingan,STAR,,,C-15,P180,Keningau,Sabah,011-29888907,,j.kitingan55@gmail.com,"PERMATA WAWASAN BINGKOR,LOT 6, TINGKAT 1, PETI SURAT 2450,89008 KENINGAU, SABAH.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.180-KENINGAU.png,,MAKLUMAT,
111,Datuk Larry Soon @ Larry Sng Wei Shien,PBM,,,E-21,P209,Julau,Sarawak,011-11465922,,larrysng6688@yahoo.co.uk,"Lot No.2, New Pakan Bazaar, 1st Floor, Jalan Pakan Bazaar, 96510 Julau, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.209-JULAU.png,,MAKLUMAT,
112,Tuan Steven Choong Shiau Yoon,PBM,,,D-53,P158,Tebrau,Johor,07-3617158,07-3617158,stevenchoong1957@gmail.com,"Pusat Khidmat Rakyat Parlimen Tebrau, 24-1 Jalan Pinang 42, Taman Daya, 81200 Johor Bharu, Johor",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.158-TEBRAU.png,,MAKLUMAT,
113,Datuk Hajah Zuraida binti Kamaruddin,PBM,,Menteri Perusahaan Perladangan dan Komoditi,A-11,P099,Ampang,Selangor,03-88803301,03-88803312,zuraida@mpic.gov.my,"Kementerian Perusahaan Perladangan dan Komoditi, No. 15, Aras 12A, Persiaran Perdana, Presint 2, Pusat Pentadbiran Kerajaan Persekutuan, 62654 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.099-AMPANG.png,,MAKLUMAT,
114,Datuk Mohamaddin bin Ketapi,PBM,,,E-39,P188,Lahad Datu,Sabah,,,mohamaddinketapi188@gmail.com,"14, FRIENDSHIP GARDEN 2, JALAN KEPAYAN,88200 KOTA KINABALU, SABAH.",https://www.parlimen.gov.my//images/webuser/ahli/2013/27.jpg,,MAKLUMAT,
115,Tuan Mohamad bin Sabu,PH - AMANAH,,,G-2,P111,Kota Raja,Selangor,03-51619000,03-51619000,kotarajap111@gmail.com,"Pusat Khidmat Rakyat Parlimen Kota Raja, No. 34 Jalan Temenggung Satu, Taman Sentosa Perdana Dua, 41200 Klang, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.111-KOTA RAJA.png,,MAKLUMAT,
116,Tuan Tan Kok Wai,PH - DAP,,,F-1,P123,Cheras,Kuala Lumpur,03-92857532,03-92830388,mpkokwai@hotmail.com / cherasdap@gmail.com,No. 1-1 Jalan Cerapu off Batu 3 1/2 Jalan Cheras 56100 Kuala Lumpur,https://www.parlimen.gov.my//images/webuser/ahli/2013/P.123-CHERAS.png,,MAKLUMAT,
117,Dato Seri Anwar bin Ibrahim,PH - PKR,,,G-1,P132,Port Dickson,Negeri Sembilan,,,anwar@dsaioffice.com/shukri@dsaioffice.com,"Pusat Khidmat Parlimen Port Dickson,No.1, Jalan Waterfront 1, PD Waterfront, 71000 Port Dickson,Negeri Sembilan.",https://www.parlimen.gov.my//images/webuser/ahli/2018/YB Port Dickson.png,,MAKLUMAT,
118,Datuk Seri Panglima Wilfred Madius Tangau,UPKO,,,G-27,P170,Tuaran,Sabah,088-223633,088-239464,wtangau@yahoo.com,"Lot 9 & 10, Tingkat 2 & 3, New World Centre, Pekan Penampang, Peti Surat 420, 89507 Penampang, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.170-TUARAN.png,,MAKLUMAT,fb@madiustangau  twitter@madiustangau
119,Datuk Seri Panglima Haji Mohd Shafie bin Haji Apdal,WARISAN,,,G-4,P189,Semporna,Sabah,088-369826,088-435350,shafie.apdal@outlook.com,"Pejabat Ketua Menteri,Jabatan Ketua Menteri, Tingkat 32 & 32, Blok A, Pusat Pentadbiran NegerI Sabah(PPNS),Jalan Sulaman,88400 Kota Kinabalu, SABAH.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.189-SEMPORNA.png,,MAKLUMAT,
120,Datuk Seri Haji Salahuddin bin Ayub,PH - AMANAH,,,G-7,P161,Pulai,Johor,,,saladinnaib@yahoo.com,"NO. 6, JALAN PEJAL, TAMAN MELEWAR, 68100, KUALA LUMPUR",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.161-PULAI.png,,MAKLUMAT,
121,Tuan Gobind Singh Deo,PH - DAP,,,G-8,P103,Puchong,Selangor,,,gsdeo103@gmail.com,"No.2A, Jalan 12/14, Seksyen 12, 46200 Petaling Jaya,Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.103-PUCHUNG.png,,MAKLUMAT,
122,Dato Seri Dr Wan Azizah Wan Ismail,PH - PKR,,,F-2,P100,Pandan,Selangor,03-78850530,03-78850531,nonaziza@gmail.com,"Ibu Pejabat Parti Keadilan Rakyat,A-1-09, Merchant Square, No. 1, Jalan Tropicana Selatan 1, 47410, Petaling Jaya, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.100-AMPANG.png,,MAKLUMAT,
123,Datuk Seri Dr Mujahid Yusof Rawa,PH - AMANAH,,,G-9,P057,Parit Buntar,Perak,05-7166520,05-7166531,parlimenparitbuntar@gmail.com,"No.7, Jalan Merbok, Pekan Baru, 34200 Parit Buntar, Perak Darul Ridzwan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.057-PARIT BUNTAR.png,,MAKLUMAT,
124,Tuan Chong Chieng Jen,PH - DAP,,,G-14,P196,Stampin,Sarawak,,,dapkuching@yahoo.com,"NO.68, LOT 131, TINGKAT 1, JALAN PETANAK, 93100, KUCHING, SARAWAK.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.196-STAMPIN.png,,MAKLUMAT,
125,Datuk Seri Saifuddin Nasution bin Ismail,PH - PKR,,,G-6,P018,Kulim-Bandar Baharu,Kedah,,,saifuddinnasution@yahoo.com,"A-1-5, Cita Kondo Damansara,Jalan PJU 3/27,Sunway Damansara,47810 Petaling Jaya, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.018-Kulim Bandar Baru.png,,MAKLUMAT,
126,Datuk Ignatius Darell Leiking,WARISAN,,,F-10,P174,Penampang,Sabah,,088-716993,dl.mppenampang@gmail.com,"Pusat Khidmat Rakyat Parlimen Penampang,Lot No.22,Tingkat 1, Golden Plaza,88500 Penampang,Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.174-PENAMPANG.png,,MAKLUMAT,
127,Tuan Khalid bin Abd Samad,PH - AMANAH,,,G-17,P108,Shah Alam,Selangor,03-55238787,03-55198117,tokkhalid@gmail.com,"1B, Tingkat 2, Blok 1, World Wide Business Centre, Jalan Tinju 13/50,Seksyen 13, Shah Alam, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.108-SHAH ALAM.png,,MAKLUMAT,
128,Tuan Chow Kon Yeow,PH - DAP,,,F-4,P049,Tanjong,Pulau Pinang,04-2260218,04-2260218,chowkonyeow@penang.gov.my,"Pusat Khidmat Ahli Parlimen Tanjong, No. 14-F, Jalan Arratoon, 10050 Pulau Pinang",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.049-TANJONG.png,,MAKLUMAT,
129,Datuk Seri Haji Shamsul Iskandar @ Yusre bin Haji Mohd Akin,PH - PKR,,,G-23,P137,Hang Tuah Jaya,Melaka,06-2860137,06-2861137,shamsuliskandar@gmail.com,"49-1, JALAN BPM 1, TAMAN BUKIT PIATU MUTIARA, 75150 MELAKA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.137-HANG TUAH JAYA.png,,MAKLUMAT,
